Ent Station,Ext Station,"Riders, Average Weekday, May 2012"
Archives-Navy Memorial,L'Enfant Plaza,35
Archives-Navy Memorial,McPherson Square,3.3
Archives-Navy Memorial,Medical Center,0.5
Archives-Navy Memorial,Metro Center,1.2
Archives-Navy Memorial,Minnesota Avenue,1.3
Archives-Navy Memorial,Morgan Blvd.,0.1
Archives-Navy Memorial,Mt. Vernon Square-UDC,4
Archives-Navy Memorial,Navy Yard,25.4
Archives-Navy Memorial,Naylor Road,1.7
Archives-Navy Memorial,New Carrollton,2.3
Archives-Navy Memorial,New York Ave,6.9
Archives-Navy Memorial,Pentagon,31
Archives-Navy Memorial,Pentagon City,10.8
Archives-Navy Memorial,Potomac Avenue,1
Archives-Navy Memorial,Prince George's Plaza,4.1
Archives-Navy Memorial,Reagan Washington National Airport,13.9
Archives-Navy Memorial,Rhode Island Avenue,1.2
Archives-Navy Memorial,Rockville,0.3
Archives-Navy Memorial,Rosslyn,4.8
Archives-Navy Memorial,Shady Grove,0.4
Archives-Navy Memorial,Shaw-Howard University,3.6
Archives-Navy Memorial,Silver Spring,4.8
Archives-Navy Memorial,Smithsonian,4.9
Archives-Navy Memorial,Southern Avenue,4.3
Archives-Navy Memorial,Stadium-Armory,0.9
Archives-Navy Memorial,Suitland,4.5
Archives-Navy Memorial,Takoma,1.1
Archives-Navy Memorial,Tenleytown-AU,1
Archives-Navy Memorial,Twinbrook,0.1
Archives-Navy Memorial,U Street-Cardozo,6.7
Archives-Navy Memorial,Union Station,9.4
Archives-Navy Memorial,Van Dorn Street,2.2
Archives-Navy Memorial,Van Ness-UDC,0.5
Archives-Navy Memorial,Vienna,1.2
Archives-Navy Memorial,Virginia Square-GMU,0.2
Archives-Navy Memorial,Waterfront,4.8
Archives-Navy Memorial,West Falls Church,2
Archives-Navy Memorial,West Hyattsville,4.9
Archives-Navy Memorial,Wheaton,0.2
Archives-Navy Memorial,White Flint,0.1
Archives-Navy Memorial,Woodley Park-Zoo,0.5
Arlington Cemetery,Addison Road,0.2
Arlington Cemetery,Anacostia,0
Arlington Cemetery,Arlington Cemetery,4
Arlington Cemetery,Ballston,0.1
Arlington Cemetery,Benning Road,0.1
Arlington Cemetery,Braddock Road,0
Arlington Cemetery,Capitol South,0.4
Arlington Cemetery,College Park-U of MD,0
Arlington Cemetery,Court House,0.9
Arlington Cemetery,Crystal City,1.6
Arlington Cemetery,Dupont Circle,0.1
Arlington Cemetery,Farragut West,0.9
Arlington Cemetery,Federal Center SW,0
Arlington Cemetery,Federal Triangle,0.2
Arlington Cemetery,Foggy Bottom,0.3
Arlington Cemetery,Franconia-Springfield,0.2
Arlington Cemetery,Gallery Place-Chinatown,0.1
Arlington Cemetery,Georgia Avenue-Petworth,0
Arlington Cemetery,Glenmont,0
Arlington Cemetery,Grosvenor,0
Arlington Cemetery,Huntington,0.3
Arlington Cemetery,King Street,1.3
Arlington Cemetery,L'Enfant Plaza,0.4
Arlington Cemetery,McPherson Square,1
Arlington Cemetery,Medical Center,0.1
Arlington Cemetery,Metro Center,2.5
Arlington Cemetery,Navy Yard,0.1
Arlington Cemetery,Naylor Road,0
Arlington Cemetery,New Carrollton,0
Arlington Cemetery,Pentagon,1.1
Arlington Cemetery,Pentagon City,0.4
Arlington Cemetery,Prince George's Plaza,0
Arlington Cemetery,Reagan Washington National Airport,0.5
Arlington Cemetery,Rosslyn,1.2
Arlington Cemetery,Smithsonian,0.5
Arlington Cemetery,Suitland,0
Arlington Cemetery,U Street-Cardozo,0.1
Arlington Cemetery,Union Station,1
Arlington Cemetery,Van Dorn Street,0.1
Arlington Cemetery,Vienna,0
Arlington Cemetery,West Falls Church,0
Arlington Cemetery,Woodley Park-Zoo,0.1
Ballston,Addison Road,1
Ballston,Anacostia,6.8
Ballston,Archives-Navy Memorial,17.6
Ballston,Arlington Cemetery,1.9
Ballston,Ballston,15.5
Ballston,Benning Road,0.5
Ballston,Bethesda,33.2
Ballston,Braddock Road,11.6
Ballston,Branch Avenue,1.2
Ballston,Brookland,15.6
Ballston,Capitol Heights,0.2
Ballston,Capitol South,107.8
Ballston,Cheverly,2
Ballston,Clarendon,42.1
Ballston,Cleveland Park,3.5
Ballston,College Park-U of MD,5.3
Ballston,Columbia Heights,9
Ballston,Congress Heights,0.7
Ballston,Court House,76.2
Ballston,Crystal City,74.9
Ballston,Deanwood,1.4
Ballston,Dunn Loring,51.1
Ballston,Dupont Circle,46.5
Ballston,East Falls Church,11.6
Ballston,Eastern Market,23
Ballston,Eisenhower Avenue,8.4
Ballston,Farragut North,2.5
Ballston,Farragut West,776.3
Ballston,Federal Center SW,86.7
Ballston,Federal Triangle,200.3
Ballston,Foggy Bottom,418
Ballston,Forest Glen,0.8
Ballston,Fort Totten,3.9
Ballston,Franconia-Springfield,9.2
Ballston,Friendship Heights,19.7
Ballston,Gallery Place-Chinatown,108.7
Ballston,Georgia Avenue-Petworth,3.6
Ballston,Glenmont,2.1
Ballston,Greenbelt,4.1
Ballston,Grosvenor,0.9
Ballston,Huntington,2.5
Ballston,Judiciary Square,102.3
Ballston,King Street,39.7
Ballston,Landover,1
Ballston,Largo Town Center,1.9
Ballston,L'Enfant Plaza,161.7
Ballston,McPherson Square,441.4
Ballston,Medical Center,15.7
Ballston,Metro Center,342.3
Ballston,Minnesota Avenue,2
Ballston,Morgan Blvd.,1
Ballston,Mt. Vernon Square-UDC,8.2
Ballston,Navy Yard,45
Ballston,Naylor Road,2
Ballston,New Carrollton,16.6
Ballston,New York Ave,47.3
Ballston,Pentagon,59.1
Ballston,Pentagon City,22.8
Ballston,Potomac Avenue,3
Ballston,Prince George's Plaza,2
Ballston,Reagan Washington National Airport,26.1
Ballston,Rhode Island Avenue,4.9
Ballston,Rockville,7.1
Ballston,Rosslyn,200.2
Ballston,Shady Grove,6.5
Ballston,Shaw-Howard University,2.4
Ballston,Silver Spring,29.9
Ballston,Smithsonian,147.4
Ballston,Southern Avenue,2.2
Ballston,Stadium-Armory,1.9
Ballston,Suitland,7.5
Ballston,Takoma,3.6
Ballston,Tenleytown-AU,15.1
Ballston,Twinbrook,2.8
Ballston,U Street-Cardozo,5.5
Ballston,Union Station,195.6
Ballston,Van Dorn Street,4.6
Ballston,Van Ness-UDC,11
Ballston,Vienna,82.6
Ballston,Virginia Square-GMU,9
Ballston,Waterfront,7
Ballston,West Falls Church,127.5
Ballston,West Hyattsville,0.8
Ballston,Wheaton,0.9
Ballston,White Flint,5.1
Ballston,Woodley Park-Zoo,11.4
Benning Road,Addison Road,26.9
Benning Road,Anacostia,28.5
Benning Road,Archives-Navy Memorial,32.4
Benning Road,Ballston,12.5
Benning Road,Benning Road,10.6
Benning Road,Bethesda,12
Benning Road,Braddock Road,3.9
Benning Road,Branch Avenue,4
Benning Road,Brookland,33.1
